customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
8973-EHZPO,Female,1,No,No,39,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,96.89,3769.5,Yes
9565-IGRIG,Male,0,No,No,48,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),105.4,5066.79,Yes
3584-LOHZU,Male,0,No,No,57,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.32,1109.03,No
3546-HPSFQ,Female,0,No,No,3,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,72.19,211.81,No
8007-OCYRD,Male,0,Yes,Yes,24,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.87,2425.87,No
4878-WZVWA,Female,0,No,No,10,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.75,783.91,No
4652-AFIWZ,Female,0,No,No,45,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),97.73,4403.58,Yes
9379-DXEBL,Male,0,Yes,No,27,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.77,1904.63,Yes
7211-RXQHO,Male,0,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),68.58,71.24,Yes
4848-RFFAG,Female,0,Yes,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),35.47,846.16,No
1090-XWXUF,Female,1,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),88.25,3005.54,No
5543-TNQHC,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),110.65,1105.82,Yes
7883-KUYAW,Female,0,No,No,1,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),64.68,68.26,Yes
3704-VXZNX,Male,1,No,No,33,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),74.81,2466.31,No
7906-GCAOZ,Female,0,Yes,No,19,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.82,1833.94,No
7043-EPTCV,Female,1,Yes,No,37,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,28.38,1053.87,No
2669-SHRUU,Male,0,No,No,38,Yes,Yes,DSL,No,Yes,No,No,Yes,No,One year,No,Credit card (automatic),74.54,2831.23,No
5425-QXUMV,Female,0,Yes,No,68,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),30.85,2101.16,No
9098-WEFUI,Female,0,Yes,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),77.46,73.58,Yes
8753-OIZOJ,Female,0,No,No,52,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),85.9,4473.45,No
6912-EANHZ,Female,0,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,64.26,71.49,Yes
2070-KBQBD,Female,1,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,81.05,4624.65,No
4404-QGCGO,Male,1,No,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.44,1438.21,No
2166-RYUQR,Male,0,Yes,No,4,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),66.44,269.75,No
9199-OLPXT,Female,1,Yes,No,27,Yes,Yes,DSL,No,Yes,Yes,No,No,No,One year,Yes,Credit card (automatic),71.17,1921.42,Yes
6700-KICEK,Female,0,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),95.32,4677.18,Yes
9889-MBNQM,Female,0,Yes,Yes,62,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,101.76,6300.98,No
2858-LDVMS,Female,0,No,No,18,No,No phone service,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),92.86,1678.57,Yes
9318-GASVP,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.28,26.72,Yes
4912-OGUBT,Female,0,Yes,Yes,2,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,79.37,164.37,Yes
7512-QWWWJ,Female,0,No,No,10,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Electronic check,83.22,836.08,No
1753-IBJLG,Female,0,Yes,Yes,41,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,92.49,3791.4,Yes
9955-ELIPQ,Female,0,No,No,51,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),68.11,3480.21,No
1132-ORTBP,Female,0,No,No,51,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,105.54,5381.36,No
3153-CHTED,Female,0,No,No,68,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,Yes,Mailed check,70.3,4784.88,No
6992-CKGDJ,Female,0,No,No,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),37.58,1159.41,Yes
8606-XHKDY,Female,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.35,659.16,No
7866-PSXRV,Female,0,No,No,61,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),73.72,4506.48,No
7523-HZYVC,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,107.39,3446.16,No
9850-GERAA,Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,One year,Yes,Mailed check,95.73,1905.47,No
9543-HQAZW,Female,0,No,No,5,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),105.9,531.45,Yes
9282-PCSWQ,Male,0,Yes,Yes,40,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Mailed check,81.43,3256.69,Yes
2398-CCTVO,Female,0,No,No,6,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.12,442.88,No
7022-CHFLO,Male,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),32.61,1040.54,Yes
3347-OKDQA,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,102.37,302.55,Yes
8957-PKFNI,Male,0,No,No,1,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,107.84,113.12,Yes
2965-ATEJS,Female,1,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),35.87,2228.13,No
2887-KZEYL,Female,1,Yes,Yes,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.65,1908.78,No
6752-SVVGD,Male,0,Yes,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),35.32,389.79,Yes
6295-WQDBL,Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,29.84,383.66,Yes
2479-PNMOU,Male,0,Yes,Yes,10,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),33.52,343.18,Yes
2381-NEGLL,Male,0,No,No,47,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,92.67,4357.14,Yes
6731-IRRDS,Male,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,31.23,1497.51,No
6940-IYITE,Male,1,No,No,22,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,107.61,2358.29,Yes
4891-ZPTUG,Male,0,No,No,37,No,No phone service,DSL,Yes,No,No,No,No,No,One year,Yes,Credit card (automatic),52.83,1961.05,No
3267-WBMJY,Male,0,Yes,Yes,1,No,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),78.27,78.31,Yes
2337-JAYVQ,Male,1,No,No,4,No,No phone service,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.17,353.66,Yes
9647-LUGDG,Female,1,No,No,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,36.59,32.42,Yes
6780-GKRCZ,Male,0,Yes,Yes,20,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,69.86,1401.9,Yes
1726-JIQVR,Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),106.58,6724.32,No
5150-AQHWB,Female,0,No,No,35,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),62.01,2174.89,Yes
3956-OICRH,Female,0,No,No,50,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,75.76,3780.86,No
8179-ABUJJ,Male,0,No,No,46,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.87,960.61,Yes
5566-GCTMK,Male,0,No,No,2,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.99,184.19,No
6236-RSOHH,Male,0,Yes,No,17,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),103.34,1766.44,Yes
2412-BKSMK,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,103.16,5571.0,Yes
3653-ISIYX,Male,0,No,No,19,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,81.41,1555.76,No
5336-QTKQM,Female,0,No,No,9,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.02,830.31,Yes
6231-TWZDJ,Male,0,No,No,7,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),94.24,666.99,Yes
6364-YSEEZ,Female,0,No,No,6,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),98.99,600.8,Yes
5681-NWLWS,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,83.64,2250.21,Yes
6555-OJDPK,Male,1,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,29.64,1039.66,Yes
5902-PNNMO,Female,0,No,No,50,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,One year,No,Credit card (automatic),91.85,4595.08,No
7229-DRAYC,Male,0,No,No,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.36,1685.92,Yes
3262-NOZMJ,Male,0,No,No,1,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),74.86,78.96,Yes
9011-IJYUH,Male,0,No,No,26,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),74.28,1936.23,Yes
9824-HOHCT,Male,0,Yes,No,48,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),101.39,4860.71,No
6262-HBTQG,Male,0,Yes,Yes,39,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),36.94,1434.39,No
5742-WAOCZ,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),99.59,189.46,Yes
5833-OTEWX,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),92.77,1851.44,No
1187-GJGRM,Male,0,No,No,29,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),78.08,2265.3,No
9806-UVTRP,Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,81.58,5220.9,No
8298-VLNLB,Female,0,No,No,33,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,78.71,2588.64,No
8734-AKTTZ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,31.27,1279.03,Yes
9802-KDZVT,Female,0,No,No,4,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,76.16,307.84,Yes
1256-GBPLR,Male,0,Yes,Yes,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,33.7,1492.67,Yes
6224-PUVGW,Male,0,No,No,9,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),63.75,571.28,No
8758-GFWDM,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),96.46,6949.61,Yes
5398-JPBBU,Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,111.76,117.27,Yes
9743-QIJWM,Female,0,No,No,24,No,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.48,2045.44,Yes
5026-MRRGV,Female,0,No,No,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.62,1537.78,Yes
1794-TKVGS,Male,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),101.68,2131.01,Yes
8054-UXCCD,Male,0,No,No,33,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Mailed check,67.5,2234.06,Yes
1519-CJOBA,Male,1,No,No,1,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,76.42,72.03,Yes
1539-EWAFD,Female,0,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),92.16,1281.76,Yes
7499-ZIQUL,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.99,132.22,Yes
3526-JUEKJ,Male,1,No,No,46,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),73.52,3373.71,Yes
6315-WAKUS,Male,0,Yes,No,64,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),75.5,4837.65,No
5040-SMQLD,Male,0,No,No,13,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,83.4,1077.75,Yes
6228-HSMOG,Female,0,No,No,13,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,97.09,1268.08,Yes
9180-DHGEL,Female,1,No,No,46,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,78.82,3628.62,No
6432-ZLAGN,Male,0,No,No,12,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,68.58,831.77,Yes
6110-IUNJC,Female,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),36.24,1271.94,Yes
4996-NOILM,Female,0,Yes,No,43,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,101.89,4387.26,Yes
6993-ILGWN,Female,0,No,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.09,1685.13,No
5873-XPRIG,Male,0,Yes,No,57,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,99.94,5703.42,No
6882-YMFJO,Female,0,No,No,57,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Mailed check,98.69,5618.69,No
9115-OCCUV,Female,0,Yes,No,4,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,78.2,322.68,Yes
4882-FTRWP,Female,0,Yes,No,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.98,2080.21,No
5794-HGWZR,Male,1,No,No,58,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,21.51,1240.23,No
6277-VTRMP,Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.65,3510.12,Yes
6869-WUKZV,Female,0,No,No,15,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,98.21,1463.16,No
4314-ZXWHW,Female,1,No,No,31,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,One year,No,Electronic check,91.01,2820.85,Yes
4705-NLAID,Female,0,No,No,70,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Mailed check,91.21,6388.24,Yes
1138-PEJFT,Female,0,No,No,2,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.24,151.37,Yes
5668-URWRH,Male,0,No,No,52,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,80.93,4217.04,Yes
7895-JRTYU,Male,0,Yes,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,87.39,83.59,Yes
4329-ZEIPT,Male,0,No,No,32,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,102.55,3286.43,Yes
2956-ADAMJ,Female,0,Yes,No,21,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,93.48,1963.3,Yes
3734-JGCOS,Male,0,Yes,Yes,58,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,81.76,4750.36,No
7870-FGXIV,Female,1,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,37.38,306.36,Yes
6090-IOAFO,Female,0,Yes,Yes,5,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),104.18,524.77,Yes
6488-ARWSC,Male,0,Yes,No,1,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,70.9,71.01,Yes
7461-BOLZG,Female,0,No,No,14,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,74.78,1040.21,Yes
7660-DJULM,Male,1,No,No,15,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,84.39,1261.05,No
1509-YWOOC,Male,0,Yes,Yes,1,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,76.11,67.4,No
8265-VCWVD,Female,1,No,No,1,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,87.37,86.29,Yes
5026-QMWMC,Female,1,Yes,No,6,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),84.94,503.24,Yes
4588-AVHVM,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),100.03,5505.6,No
1462-SJODY,Female,0,Yes,Yes,27,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),84.58,2292.04,No
6301-BDSDC,Female,0,No,No,13,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),97.96,1282.69,Yes
3854-SOXPJ,Male,0,No,No,19,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,85.66,1619.1,Yes
6234-EXCSQ,Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),100.85,4545.94,No
7204-JJVUP,Male,0,Yes,No,10,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,79.66,797.54,No
2525-IZXSL,Male,0,No,No,6,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,68.25,410.94,No
3516-BACVQ,Female,0,Yes,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.54,32.49,Yes
5341-COEXJ,Female,1,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),105.85,4976.74,Yes
7342-VKNWM,Male,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,109.21,1083.67,Yes
4308-ZQVGX,Male,1,No,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,95.62,383.73,Yes
5687-WWWGR,Female,1,No,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),31.45,368.39,Yes
5400-XAVHH,Female,0,Yes,No,30,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),72.7,2186.19,No
1920-NEIND,Male,0,Yes,No,2,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,66.41,127.66,Yes
8308-EWPJE,Female,0,Yes,Yes,49,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Electronic check,80.37,3930.78,No
1138-FPYSS,Female,0,No,No,61,Yes,No,DSL,No,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),68.81,4199.29,No
2771-MIHIH,Female,0,Yes,No,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,31.61,1710.05,No
5250-XKTPZ,Male,0,Yes,No,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),30.54,862.03,No
3967-HMTSO,Male,0,No,No,20,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),65.32,1298.76,Yes
2166-MFDRN,Female,1,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,92.57,639.15,Yes
4430-TETMT,Male,1,No,No,31,Yes,No,DSL,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,78.46,2437.4,No
1293-RQGSI,Male,1,No,No,10,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),67.8,671.77,No
7609-AFZFA,Male,1,Yes,Yes,2,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,88.74,176.97,Yes
1152-HRRHP,Male,0,Yes,No,44,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,97.79,4300.96,Yes
9980-MFYIA,Male,0,No,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,36.62,211.75,Yes
4787-LZGBV,Male,0,No,No,56,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,85.64,4803.73,No
5395-WCVEK,Female,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),108.01,1947.75,Yes
7221-UPWWS,Male,0,No,No,56,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Two year,No,Mailed check,75.89,4253.24,No
